B2	スキルシート
L34	【担当業務】 ・週1回のリリース前テストを担当 ・新機能、不具発生時に起票される修正箇所一覧を元にテスト実施 ・A5:SQLを使用し、DBの確認、登録、削除を実施 ・不具合発見時に修正箇所一覧へ起票、担当エンジニアに一時報告。 ・不具合の一時切り分け及び、原因特定。 ・臨時のテスターへの指導、仕様説明、テスト指示（テスト割り振り）  【取り組みや姿勢】 ・新機能が実装される際、開発者が既存の仕様を理解していないことが多かったため、仕様を説明したうえで、新機能との矛盾や問題を指摘したり、新機能の仕様を踏まえ、動作に懸念点があった場合は、問題がないのか、どう修正したら良いのかを開発者と話し合って解決できるよう努めた。 ・臨時テスターが動員された際、自分も初めて知る新機能の場合も、質問された場合は自分で仕様を理解して説明し、理解しやすいよう都度フォローを行った。 ・臨時テスターが動員された際、自分なりに工夫してテストの割り振りを行い、効率よくテストができるように努めた。また、他の人のテスト状況も自分のテストと併行して気を配り、フォローするよう心がけた。 ・仕様や確認した事項、用語を調べてまとめる等、学習資料を作成し、のちにアサインした人が理解しやすいよう共有を行った。 ・金額の不具合が多かったため、画面上どう金額が表示されるのが正しいか、誰でも一目で分かるよう、エクセルで計算シート作成し、不具合がすぐ分かるようにした。
C37	14
B38	5
C38	2021-06-01 00:00:00
G38	－
H38	2021-09-01 00:00:00
L38	◆顧客管理システムのテスト及び、機能追加
AH38	メンバー PG、テスター 2名
AN38	PHP HTML JavaScript Linux MySQL Git GitHub TeraTerm Redmine Apache
L39	顧客管理システムの保守  【担当業務】 ・要件定義書と基本設計書をもとにテスト仕様書を作成 ・テスト仕様書をもとにテストを実施 ・不具合の原因調査と特定、および修正を実施 　- ソース内の実装漏れ箇所の発見、および修正 　- テスト仕様書の修正 ・TeraTerm、ftpを使用し、開発サーバー接続 ・Linuxサーバのコマンドによる操作 ・Redmineで指示された担当業務を遂行 ・新規機能追加 　・CSV入出力機能 　・開発 　・テスト仕様書作成 　・テスト実施 　・開発ブランチへのマージ
C42	4
B43	6
C43	2021-02-01 00:00:00
G43	－
H43	2021-06-01 00:00:00
L43	◆【公共職業訓練】新潟県立新潟テクノスクール　Webクリエーター科
AH43	メンバー 1名
AN43	HTML CSS Illustrator Photoshop XD Word 2019 Excel 2019
L44	【学習内容】 Webコンテンツ作成、グラフィックデザインの基本を習得  【成果】 ・HTML／CSS 　　- ホームページの更新、ページの追加 　　- 問い合わせページの作成、レスポンシブ設定 ・Illustrator／Photoshop／XD 　　- 名刺データ作成、ロゴ作成、トレース 　　- 画像加工、バナー作成 　　- 画面デザイン、レイアウト ・Word／Excel 　　- データ入力、関数などを使用した集計
C47	5
B48	7
C48	2012-04-01 00:00:00
G48	－
H48	2021-01-01 00:00:00
L48	◆金融機関（営業店）における融資業務
AH48	メンバー
AN48	Word 2019 Excel 2019 PowerPoint 2019 Galileopt NX-Plus（㈱ミクロ情報サービス：人事情報管理システム）
L49	【担当業務】 ・融資相談、申込受付、電話対応 ・融資審査、入金事務  【取り組みや姿勢】 融資相談では、お客様とコミュニケーションを取りながらニーズを引き出したり、返済計画に問題がないのか、ライフプランも考慮したうえで対応した。
L50	◆金融機関（本部）における融資業務
L51	【担当業務】 ・ネット申込にかかる融資審査、不備申込等に対する電話対応 ・営業店への申込引継ぎ対応 ・パート職員への業務指導  【取り組みや姿勢】 ・新たにネットの融資申込システムを導入した際に新設された部署であったため、誰が配属されても困らずスムーズに審査業務ができるよう、上司にマニュアル作成を提案し、作業内容を体系化して、分かりやすさを徹底したマニュアルを作成し、のちに社内規程に掲載された。
L52	◆金融機関（本部）における経営企画業務
L53	【担当業務】 ・手数料にかかる対応（営業店からの問い合わせ対応、規程整備等） ・職員向け通達、外部宛通知文書の作成、会議議事録の作成 ・NPO団体と連携した環境教育事業推進（事務局対応等）  【取り組みや姿勢】 ・本部業務の性質上、自分より上の役職の方に指導をする場面もあったため、業務に対して知識を深める努力を行い、あいまいな表現を行わない等責任感をもって業務にあたった。 ・CSRにかかる取り組みとして、NPO団体からの依頼で高校に赴き、自社の仕事内容や、自身の経歴を説明するなど、高校生が将来を考える機会をつくる一助となるよう努めた。
L54	◆金融機関（本部）における人事・採用業務
L55	【担当業務】 ・職員教育（職員の資格取得や研修にかかる教育推進、業者対応、規程整備等） ・職員向け通達、外部宛文書作成 ・採用活動  【取り組みや姿勢】 ・職員の検定試験・通信教育の受験、受講率引き上げのため、データを整理して見える化し、部署ごとに公開する等、改善のための工夫を凝らした。 ・検定試験、通信教育の申込みにかかる事務効率化を図るため、エクセルで集約、申込をしていた状況から、システムを導入し本部で職員の申込状況等の把握や、支払い等の管理をしつつ、職員が自身の端末から直接申込ができるようにした。 ・採用にかかる企業説明会において、大勢の前で企業説明等を行った。
C56	106
